reference	predicted
أَبلَ إِبرِيل	اَبَّلْ اِبْرِيلْ
أَبلَ أَجَازَة الجُمعَه	اَبَّلْ اَجَازَة الْجُمْعُه
مِن ثَانِيَة	مِنْ ثَانِيَة
أَبلَ جَمَاد الَأوَل	اَبَلْ جَمَاد الْاَوَل
أَبلَ جَمَادِ الَآخِر	اَبَلْ جَمَاد الْاَخْر
أَبلَ جَمَادِ التَانِي	اَبَلْ جَمَاد التَّانِي
مِن دِئِيئَه	مِنْ دِييِيهْ
أَبلَ دِيّسَمبِر	اَبَلْ دِيسَمْبِرْ
أَبلَ زِي الحِجَة	اَبَلْ زِيْ الْحَجّة
أَبلَ زِي القِعدَه	اَبْلْ زِيْ الْقَعْدَه
أَبلَ رَبِيع الَأوَل	اَبَلْ رَبِيعْ الْاَوَل
أَبلَ رَبِيع الَآخِر	اَبَلْ رَبِيعْ الْاَخْر
أَبلَ رَجَب	اَبَّلْ رَجْبْ
أَبلَ سَاعة	اَبَّلْ سَاعَةْ
أَبلَ سِبتَمبِر	اَبَّلْ سِبْتَمْبَرْ
أَبلَ سَنَة	اَبَّلْ سَنة
بَعد رَبِيع التَانِي	بَعَدْ رَبِيعْ التَّانِي
بَعد رَجَب	بَعَدْ رَجْبْ
بَعد رَمَضَان	بَعَدْ رَمْضَانْ
بَعد سَاعَة	بَعَدْ سَاعَةْ
بَعد سِبتَمبِر	بعدْ سِبْتَمْبَرْ
بَعد سَنَه	بَعَدْ سَنْهُ
بَعد سُهَيل	بَعَدْ سَهِيلْ
بَعد شُبَاط	بَعَدْ شْبَاطْ
بَعد شَعبَان	بَعَدْ شَعْبَانْ
بَعد شَهَر	بَعَدْ شَهْرْ
بَعد صَفَر	بَعَدْ صَفْرْ
بَعد سَنَه	بَعَدْ سَنْه
بَعد عَقد	بَعَدْ عَقْدْ
بَعد عِيد الحَج	بَعَدْ عَيْدْ الحَجّ
بَعد عِيد الفِطر	بَعَدْ عَيْدْ الْفَطْرْ
بَعد بُكرَه	بَعَدْ بِكْرَهْ
بَعد مَارِس	بَعَدْ مَارِسْ
بَعد مَايُو	بَعَدْ مَايُو
بَعد مُحَرَم	بَعَدْ مَحْرَمْ
بَعد نُوفَمّبِر	بَعَدْ نوفَمْبَرْ
بُكّرَه	بِكْرَه
فِي اكتُوبَر	فِي اَكْتُوبَرْ
فِي الأسبُوعِ الجَاي	فِي الاَسْبُوع الْجَاي
فِي الأَجَازَة	فِي الْاَجَازَة
فِي شَهَر	فِي شَهَرْ
فِي صَفَر	فِي صَفَرْ
فِي سَنَة أَلف وَاربَعمِيِّة وتَلَاتَ وتَلاتِين هِجرِي	فِي سِنَّة اَلْف وَارْبَعْمِيَّة وَتْلَاتْ وَتْلَاتِينْ هَجْرِي
فِي سَنَة أَلفين وَاتنَاعَشَر مِيلَادِي	فِي سِنَّة الْفِينْ وَاتْنَاعَشْر مِيْلَادِي
فِي عِيد الحَج	فِي عِيْدْ الحَجْ
فِي عِيد الفِطر	فِي عِيدْ الْفَطْرْ
فِي فِبرَايِر	فِي فِبْرَايِر
فِي كَانُون الَأوَّل	فِي كَانُون الْاَوَل
فِي كَانُون التَانِي	فِي كَانُون الْتَّانِي
فِي مَارِس	فِي مَارِسْ
فِي مَايُو	فِي مَايُو
فِي مُحَرَّم	فِي مَحْرَمْ
فِي نُوفَمبِر	فِي نُوفَمْبَرْ
فِي نِيسَان	فِي نِيسَانْ
فِي الأَسبُوع دَه	فِي الْاَسْبُوعْ دَهْ
فِي الشّهر دَه	فِي الشَّهْر دَهْ
فِي يُولِيُه	فِي يُولِيهْ
فِي يَوم	فِي يَومْ
فِي يُونِيَه	فِي يُونِيهْ
أَبلَ أَكتُوبَر	اَبَّلْ اَكْتُوبَرْ
أَبلَ الحَد	اَبَلْ الحَدّ
أَبلَ الأَربَع	اَبَلْ الْاَرْبَعْ
أَبلَ الأَسبُوع الجَاي	اَبَلْ الْاِسْبُوعْ الْجَاي
أَبلَ اللِّتنِين	اَبَّلْ الْلِتْنِين
أَبلَ سُهَيل	اَبَلْ سَهِيلْ
أَبلَ شِبَاط	اَبَّلْ شْبَاطْ
أَبلَ شَعبَان	اَبَّلْ شَعْبَانْ
أَبلَ شَهر	اَبَلْ شَهْرْ
أَبلَ شَوَّال	اَبْلْ شُوَالْ
أَبلَ صَفَر	اَبْلْ صَفْرْ
أَبلَ سَنَة	اَبْلْ سَنة
أَبلَ سَنَة أَلف وَاربَعمِيِّة وتَلَاتَ وتَلاتِين هِجرِي	اَبَلْ سِنَّة اَلْف وَارْبَعْمِيَّة وَتْلَاتْ وَتَلَاتِيْن هَجْرِي
أَبلَ سَنَة أَلفين وَاتنَاعَشَر مِيِلَادِي	اَبَلْ سِنَّة الْفِينْ وَاتْنَاعَشْر مِيْلَادِي
أَبلَ الحِج	اَبَّلْ الحَجّ
أَبلَ عِيد الفِطر	اَبْلْ عَيْدْ الْفَطْرْ
أَبلَ فِبرَايِر	اَبَّلْ فِبْرَايِرْ
أَبلَ مَارِس	اَبَلْ مَارِسْ
أَبلَ مَايُو	اَبَلْ مَايُو
أَبلَ مًحَرَم	اَبَلْ مَحْرَمْ
أَبلَ الَأسِبُوع دَه	اَبَّلْ الْاِسْبُوعْ دَه
أَبلَ الشّهر دَه	اَبْلْ الشَّهْرْ دَهْ
أَبلَ يُولِيُه	اَبْلْ يولِيهْ
أَبلَ يِوم	اَبَلْ يومْ
أَبلَ يُونّيُه	اَبْلْ يونِيهْ
الَأسبُوع دَه	الْاِسْبُوع دَه
الشَهر دَه	الشَّهْرْ دَهْ
السَنَا دِي	الْسّنَا دِي
الوَئت دَه	الويتْ دَهْ
الرِّيَال	الرِيَال
الدُّولَار	الدُّولَار
الجِنِيه	الْجَنِيه
اللِّيرَه	اللِيْرَهْ
الدَّرَاهِم	الدَّرَاهُم
رِيَال	رِيَالْ
دُولَار	دولَارْ
جِنِيه	جَنِيه
لِيرَه	لِيرَهْ
دِرهَم	دَرْهَمْ
رِيَالَات	رِيَالَاتْ
دُولَارَات	دولارَاتْ
جُنَيهَات	جَنِيهَاتْ
لِيرَات	لِيرَاتْ
دَرَاهِم	دْرَاهُم
رِيَال	رِيَالْ
دُولَار	دولَارْ
جِنِيه	جَنيه
لِيرَة	لِيْرَة
دِرهَم	دَرْهَمْ
رِيَال	رِيَال
دُولَار	دولَار
جِنِيه	جَنيه
لِيرَه	لِيرَهْ
دِرهَم	دَرْهَمْ
هَلَلَه	هَلْلَهْ
فِلس	فَلْسْ
بِنس	بِنَسْ
سِنت	سَنْتَ
رِيَال	رِيَالْ
رِيَال	رِيَالْ
رِيَال	رِيَالْ
رِيَالَات	رِيَالَاتْ
رِيَالِين	رِيَالِين
رِيَالِين	رِيَالِين
هَلَلَات	هَلْلَاتْ
هَلَلَة	هَلَلَة
هَلَلَة	هَلَلَة
هَلَلَة	هَلَلَة
هَلَلَتَين	هَلْلَتِينْ
هَلَلَتَين	هَلْلَتِينْ
سِنت	سَنْت
أَبُوظَبِي	اَبوظْبِي
أَتلَانتَا	اَتْلَانْتَا
أَثِينَا	اَثِينَا
أَحمَد أَبَاد	اَحْمَدْ اَبَادْ
إِدَنبَرَه	اَدْنْبَرَه
أَدِيس أَبَابَا	اَدِيسْ اَبَابَا
أَزمِير	اَزْمِيرْ
إِسبرِنق فِيلد	اَسْبَرْنْقْ فِيلْدْ
أُستُكهُولم	اَسْتَكْهُولْمْ
إِسطَنبُول	اِسْطَنْبُولْ
إِسلام أَبَاد	اَسْلَامْ اَبَادْ
أَسوَان	اَسْوَانْ
أَكرَا	اَكْرَا
الإسكَندَريَّة	الْاِسْكُنْدَرِيَّة
أَلبَانِيَا	الْبَانِيَا
البَصرَة	الْبَصْرَة
الجَزَائِر	الْجَزَايِرْ
الخَرطوم	الْخَرْطُوم
الدَّارُ البَيضَاء	الْدَارْ الْبِيضَاء
الدِوحَة	الدُّوْحَة
الرِّبَاط	الرَّبَاطْ
القَاهِرَة	القَاهْرَة
القُدس	القُدْس
الكِوَيت	الْكُويتْ
المَنَامَة	الْمَنَامَة
المَوصِل	الْمُوْصِلْ
أُمُّ دَرمَان	ام دَرْمَانْ
أَمِستَردَام	اَمْسَتَرْدَام
أنتاناناريفو	اِنْتِانَانَارِيفُو
إِندِيَانَا بُولِس	اِنْدِيَانَا بُولِسْ
أَنقَرَة	اَنْقَرَة
أُوتَاوَا	اوْتَاوَا
أُورلاندُو	اورْلَانْدُو
أُوستِن	اوسْتِنْ
أُوسلُو	اَوسْلُو
أُوكلاهُومَا	اَوْكْلَاهُومَا
بَاتُون رُوج	بَاتُون رُوجْ
بَارِيس	بَارِيسْ
بَانجلُور	بانجلور
بَاندُونج	بَانْدُونَج
بَانكُوك	بَانْكُوكْ
بَرَازِيلِيَا	بْرَازِيلِيَا
بَرشَلُونَة	بَرشْلُونَة
بِرلِين	بِرْلِين
بِرمِنجهَام	بِرَمْنْجْهَام
بُوسطُن	بوسْطِنْ
بُومبَاي	بومْبَاي
بُون	بُونْ
بِيتسُورنِي	بيتْسُورْنِي
بِيرث	بِيرث
بَيرُوت	بِيْرُوتْ
بِيشَاوَر	بِيشَاوِر
بِيغَان	بِيغَان
بِينَانج	بِينَانَجْ
بِيُونِس اَيرِس	بيونس ايرس
تَالاهَاسِي	تَالْاَهَاسِي
تَايبِيه	تَايْبِيهْ
تُوبِيكا	تُوبِيكَا
تُورُنتُو	تُورِنْتُو
تُونِس	تُونِسْ
جَاكَرتَا	جَاكْرْتَا
جلاسكُو	جَلَاسْكُو
جُوهَانسبِرج	جوهَانْسِبْرَجْ
جِيبُوتِي	جِيبُوتِي
حَلَب	حَلَبْ
دَارُ السَّلام	دَارْ السَّلَامْ
دَاروِين	دَارويْنْ
دَاكَار	دَاكَارْ
دَالَاس	دَالَاسْ
دَبلِن	دِبْلِنْ
دُبَي	دْبِيْ
دَكَّا	دَكَا
دِمَشق	دِمْشَقْ
دِي تَروِيت	دِي تَرويْتْ
دِيرهَام	دِيْرْهَامْ
دِينِفَر	دِيْنْفِرْ
رُومَا	رُومَا
رِيكَامُوند	رِيكَامونْد
رِيُو دِي جَانِيرُو	رِيوْ دِي جَانِيرُو
زِيُورِخ	زِيورَخ
سَان سِلفَادُور	سَانْ سِلْفَادُور
سَانتِيَاغُو	سَانْتِيَاغُو
سَاند يِيِجُو	سَانْدْ يِيجُو
سَاو بَاولُو	سَاوْ باوْلو
سَرَابَايَا	سَرَابَايَا
سَنغَافُورَة	سَنْغَافورَة
سَيؤُول	سَيوولْ
سِيدنِي	سِيدْنِي
شَنغَهَاي	شَنْغْهَايْ
شُونجُونج	شونْجُونَج
فِيَنَّا	فِينَا
كَابُول	كَابول
كَاردِيف	كَارْدِيفْ
كَازَبلَانكَا	كَازْبْلَانْكَا
كَانبِيرا	كَانْبِيرَا
كَرَاتشِي	كراتْشِي
كَرَاكَاس	كرَاكَاس
كوَالَالَمبُور	كوالْالْمْبُورْ
كوَانتَان	كوانْتَان
كُوبِنهَاجِن	كوبْنْهَاجِن
كُولُمبُس	كولْمْبْس
كُولُومبُو	كولومْبُو
كُولُومبِيَا	كولومْبِيَا
كِيب تَاون	كِيْبْ تَاوِنْ
كِيتُو	كِيتُو
لاس فِيجَاس	لَاسْ فِيجَاسْ
لاغُوس	لاغوسْ
لانسِنق	لَانْسْنْقْ
لاهُور	لاهورْ
لَشبُونَة	لَشْبُونَة
لَندَن	لَنْدِنْ
لُوس أَنجلُوس	لُوسْ اِنْجِلوسْ
لِيمَا	لِيمَا
ليُون	لِيُونْ
مَاربِيَّا	مَارِبِيَا
مَارسِيلِيَا	مَارْسِيلِيَا
مَانَاجوا	مَانَاجُوا
مَانِيلا	مَانِيلَا
مِدرَاس	مِدْرَاسْ
مَدرِيد	مَدْرِيدْ
مَرَّاكِش	مَرَاكِشْ
مَسقَط	مَسْقَطْ
مَقدِيشُو	مَقْدِيشُو
مِكسِيكُو سِتِي	مَكْسِيكُو سَتِي
مَلبُورن	مَلْبُورِنْ
مُوسكُو	مُوسْكُو
مُونتِريَال	مُونْتِرِيَال
مِيلان	مِيلَانْ
ميُونِخ	مِيونْخْ
نَابُولي	نَابُولِي
نَانت	نَانْتْ
نَوَاكشُوط	نواكْشُوطْ
نَيرُوبِي	نِيرُوبِي
نِيس	نِيسْ
نيُودِلهِي	نِيودِلْهِي
بِرمِنجهَام	بِرْمَنْجِهَام
برِيتُورِي	بَرِيتُورِي
بَغدَاد	بَغْدَادْ
بِكِّين	بِكِيْن
بِلغرَاد	بِلْغَرَادْ
بَلفَاست	بِلفَاسِتْ
بلُومِنقتُون	بِلُومِنْقِتُونْ
بِنغَازِي	بِنْغَازِي
بُوجُوتَا	بِوجُوتَا
بُوخَارِست	بوخارْسْتْ
بُودَابِست	بودَابْسْتْ
بُورتلاند	بورْتْلَانِد
بُور سُودَان	بورْ سُودَان
شِيكَاغُو	شِيكَاغُو
صَنعَاء	صَنْعَاءَ
صُوفِيَا	صُوفِيَا
طَرَابلُس	طَرَابْلِسْ
طَهرَان	طَهَرَانْ
طُوكيُو	طُوكِيوْ
عَبدَان	عَبْدَانْ
عَدَن	عَدَنْ
عَمَّان	عَمَان
غَزَّه	غَزْه
فَانكُوفَر	فَانْكُوفِرْ
فرَانكفُورت	فرانْكفورتْ
نيُوكَاسِل	نِيوكَاسِل
نيُويُورك	نِيويورَكْ
هَاتفُورد	هَاتْفُورِدْ
هَارسبِيرق	هَارْسْبِيرَقْ
هَافَانَا برَاغ	هَافَانَا بْرَاغ
هَانُوي	هَانُوي
هِلسِنكِي	هَلْسِنْكِي
هُونج كُونج	هونَج كونَجْ
وَارسُو	وَارْسُو
وَاشُنطُن دِي سِي	وَاشْنْطُنْ دِي سِيْ
وُلِينجتُون	وَلِيْنْجْتونْ
وَهرَان	وَهَرَانْ
وَاحِد	وَاحِدْ
اِتنِين	اِتْنِينْ
اِتنِين	اِتْنِين
تَلَاتَة	تَلَاتَة
أَربَعَة	اَرْبَعَة
خَمسَة	خَمْسَة
سِتَّة	سَتة
سَبعَة	سَبْعَة
تَمَانيَة	تَمَانِيَة
تِسعَة	تَسْعَةَ
عَشَرَة	عَشْرَة
حِّدَاشر	حَدَاشِر
اِتنَاشَّر	اَتْنَاشِر
تَالَتَاشَر	تَالْتَاشِر
أَربَعتَاشَر	اَرْبْعْتَاشِر
خَمَستَاشَر	خَمْسَتَاشِر
سِتَاشَر	سْتَاشِر
سَبَعتَاشَر	سَبْعْتَاشِر
تَمَنتَاشَر	تِمْنْتَاشِر
تِسعتَاشَر	تِسْعَتَاشِر
عِشرِين	عَشْرِينْ
وَاحِد وَعِشرِين	وَاحِد وَعِشْرِينْ
اِتنِين وِعِشرِين	اِتْنِين وَعَشْرِينْ
تَلَاته وِعِشرِين	تَلْاتِه وَعِشْرِينْ
أَربَعَة وِعِشرِين	اَرْبَعَة وَعِشْرِينْ
خَمسَة وِعِشرِين	خَمْسَة وَعِشْرِينْ
سِتة وِعِشرِين	سِتَّة وَعِشْرِينْ
سَبعَة وِعِشرِين	سَبْعَة وَعِشْرِينْ
تَمَانية وِ عِشرِين	تَمَانِيَة وْ عِشْرِينْ
تِسعَة وِعِشرِين	تِسْعَةْ وَعِشْرِينْ
تَلَتِين	تَلْتِينْ
وَاحِد وِتَلَتِين	وَاحِد وَتَلْتِينْ
اِتنِين وِتَلَتِين	اِتْنِين وَتَلْتِين
تَلَاتَة وِتَلَتِين	تَلَاتَة وَتَلْتِينْ
أَربَعَة وِتَلَتِين	اَرْبَعَة وَتَلْتِينْ
خَمسَة وِتَلَتِين	خَمْسَة وَتَلْتِينْ
سِتَّة وِتَلَتِين	سِتَّة وْتَلْتِينْ
سَبعَة وِتَلَتِين	سَبْعَة وَتَلْتِينْ
تَمَانيَة وِتَلَتِين	تَمَانِيَة وَتَلْتِين
تِسعَة وِتَلَتِين	تِسْعَة وَتَلْتِينْ
أربِعين	اَرْبْعِينْ
وَاحِد وِأربِعين	وَاحِد وَارْبْعِينْ
اِتنِين وِأربِعين	اِتْنِينْ وَاَرْبْعِينْ
تَلَاتَة وِأربِعين	تَلَاتَة وَارْبَعِينْ
أَربَعَة وِأربِعين	اَرْبَعَة وَاَرْبْعِينْ
خَمسَة وِأربِعين	خَمْسَة وَاَرْبَعِينْ
سِتَّة وِأربِعين	سِتَّة وْاَرْبَعِينْ
سَبعَة وِأربِعين	سَبْعَة وَارْبَعِينْ
تَمَانيَة وِأربِعين	تَمَانِيَة وَاَرْبَعِينْ
تِسعَة وِأربِعين	تِسْعَة وَاَرْبَعِينْ
خَمسِين	خَمْسِينْ
وَاحِد وِخَمسِين	وَاحِد وَخَمْسِينْ
اِتنِين وِخَمسِين	اِتْنِينْ وَخَمْسِينْ
تَلَاتَة وِخَمسِين	تَلْاتَة وَخَمْسِينْ
أَربَعَة وِخَمسِين	اَرْبَعَة وَخَمْسِينْ
خَمسَة وِخَمسِين	خَمْسَة وَخَمْسِينْ
سِتَّة وِخَمسِين	سِتَة وْخَمْسِينْ
سَبعَة وِخَمسِين	سَبْعَة وَخَمْسِين
تَمَانيَة وِخَمسِين	تَمَانِيَة وَخَمْسِينْ
تِسعَة وِخَمسِين	تِسْعَة وَخَمْسِينْ
سِتِّين	سْتِين
وَاحِد وِسِتِين	وَاحْد وَسْتِين
اِتنِين وِسِتِين	اَتْنِين وَسَتِيْن
تَلَاتَة وِسِتِين	تِلْاَتَة وَسْتِيْنْ
أَربَعَة وِسِتِين	اَرْبَعَة وَسْتِينْ
خَمسَة وِسِتِين	خَمْسَة وَسْتِينْ
سِتَّة وِسِتِين	سَتَة وَسْتِينْ
سَبعَة وِسِتِين	سَبْعَة وَسْتِينْ
تَمَانيَة وِسِتِين	تَمَانِيَة وَسْتِينْ
تِسعَة وِسِتِين	تِسْعَة وَسْتِين
سَبعِين	سَبْعِين
وَاحِد وِسَبعِين	وَاحِد وَسْبْعِينْ
اِتنِين وِسَبعِين	اِتْنِيْن وَسَبْعِينْ
تَلَاتَة وِسَبعِين	تَلْاتَة وَسَبْعِينْ
أَربَعَة وِسَبعِين	اَرْبَعَة وَسْبْعِينْ
خَمسَة وِسَبعِين	خَمْسَة وَسَبْعِينْ
سِتَّة وِسَبعِين	سَتَة وَسَبْعِينْ
سَبعَة وِسَبعِين	سَبْعَة وَسْبْعِينْ
تَمَانيَة وِسَبعِين	تَمَانِيَة وَسَبْعِينْ
تِسعَة وِسَبعِين	تِسْعَة وَسَبْعِينْ
تَمَنين	تَمْنِينْ
وَاحِد وِتَمَنين	وَاحِد وَتَمْنِينْ
اِتنِين وِتَمَنين	اِتْنِين وَتَمْنِينْ
تَلَاتَة وِتَمَنين	تَلَاتَة وَتَمْنِين
أَربَعَة وِتَمَنين	اَرْبَعَة وَتَمْنِينْ
خَمسَة وِتَمَنين	خَمْسَة وَتَمْنِين
سِتَّة وِتَمَنين	سَتَّة وَتَمْنِين
سَبعَة وِتَمَنين	سَبْعَة وَتَمْنِين
تَمَانيَة وِتَمَنين	تْمَانِيَة وَتَمْنِين
تِسعَة وِتَمَنين	تِسْعَة وَتَمْنِين
تِسعِين	تَسْعِينْ
وَاحِد وِتِسعِين	وَاحِد وَتْسْعِين
اِتنِين وِتِسعِين	اِتْنِين وَتَسَعِينْ
تَلَاتَة وِتِسعِين	تَلْاتَة وَتَسْعِينْ
أَربَعَة وِتِسعِين	اَرْبَعَة وَتْسْعِينْ
خَمسَة وِتِسعِين	خَمْسَة وَتَسْعِين
سِتَّة وِتِسعِين	سَتَّة وَتَسْعِينْ
سَبعَة وِتِسعِين	سَبْعَة وَتْسْعِينْ
تَمَانيَة وِتِسعِين	تَمَانِيَة وَتَسْعِينْ
تِسعَة وِتِسعِين	تِسْعَة وَتَسْعِينْ
مِية	مِية
ألف	الفَ
اِثنَا عَشَرَ	اِثْنَا عَشَرْ
اِثنَانِ	اَثْنَانْ
اِثنَتَا عَشرَة	اِثْنَتَا عَشْرَة
اِثنَتَانِ	اِثْنَتَانْ
اِثنَتَي عَشرَة	اِثْنِتِي عَشْرَة
اِثنَتَينِ	اِثْنَتِينْ
اِثنَي عَشَرَ	اِثْنِي عَشَرْ
اِثنَينِ	اَثْنِيْنْ
آلَافٍ	اِلَافْ
آلَافِ	الَافْ
أَحَدَ عَشَرَ	اَحَدْ عَشَرْ
أَربَعٌ	اَرْبَعْ
أَربَعُ	اَرْبَعْ
أَربَعَ	اَرْبَعْ
أَربَعٍ	اَرْبَعَ
أَربَعِ	اَرْبَعَ
أَربَعَ عَشرَة	اَرْبَعْ عَشْرَة
أَربَعًا	اَرْبَعَا
أَربَعَةٌ	اَرْبَعَة
أَربَعَةُ	اَرْبَعَة
أَربَعَةً	اَرْبَعَة
أَربَعَةَ	اَرْبَعَة
أَربَعَةٍ	اَرْبَعَة
أَربَعَةِ	اَرْبَعَة
أَربَعَة عَشَرَ	اَرْبَعَة عَشْرْ
أَربعُمِائةٍ	اَرْبْعْمَايَة
أَربَعُمِائةِ	اَرْبْعْمَايَة
أَربَعَمِائةٍ	اَرْبْعْمَايَة
أَربَعَمِائةِ	اَرْبْعْمَايَة
أَربَعِمِائةٍ	اَرْبْعَمَايَة
أَربَعِمِائةِ	اَرْبَعْمَايَة
أَربَعُونَ	اَرْبَعُونْ
أَلفٌ	الفْ
أَلفُ	الْف
أَلفَ	الْف
أَلفٍ	الف
أَلفِ	الْفَ
أَلفًا	الْفا
أَلفا	الفَا
أَلفَانِ	الْفَان
أَلفَي	اَلْفِي
أَلفَينِ	اَلْفِينْ
إِحدَى عَشرَة	اَحْدَى عَشْرَة
تِسعٌ	تَسْعْ
تِسعُ	تَسْعَ
تِسعَ	تَسْعْ
تِسع	تَسْعْ
تِسع	تَسْعْ
تِسعَ عَشرَة	تِسْعْ عَشْرَة
تِسعًا	تِسْعَا
تِسعَةٌ	تَسْعَة
تِسعَةُ	تَسْعَة
تِسعَةً	تَسْعَة
تِسعَةَ	تِسْعَة
تِسعَةٍ	تَسْعَة
تِسعَةِ	تَسْعَة
تِسعَةَ عَشَرَ	تِسْعَة عَشْر
تِسعُمِائةٍ	تَسْعَمَايَة
تِسعُمِائةِ	تَسْعَمَايَة
تِسعَمِائةٍ	تَسْعَمَايَة
تِسعَمِائةِ	تَسْعْمَايَة
تِسعِمِائةٍ	تَسْعَمَايَة
تِسعِمِائةِ	تَسْعَمَايَة
تِسعُونَ	تَسْعُونْ
تِسعِينَ	تَسْعِين
ثَلاثٌ	ثَلَاثْ
ثَلاثُ	ثَلَاثْ
ثَلاثَ	ثَلَاثْ
ثَلاثٍ	ثَلَاثْ
ثَلاثِ	ثَلَاثْ
ثَلاثَ عَشرَة	ثَلَاث عَشْرَة
ثَلاثًا	ثَلَاثَا
ثَلاثَةٌ	ثَلاثَة
ثَلاثَةُ	ثَلاثَة
ثَلاثَةً	ثَلَاثَة
ثَلاثَةَ	ثَلاثَة
ثَلاثَةٍ	ثَلَاثَة
ثَلاثَةِ	ثَلْاثَة
ثَلاثَةَ عَشَرَ	ثَلَاثَة عَشَرَ
ثَلَاثُمِائةٍ	ثَلَاثْمَايَة
ثَلَاثُمِائةِ	ثَلَاثْمَايَة
ثَلَاثَمِائةٍ	ثَلاثْمَايَة
ثَلَاثَمِائةِ	ثَلْاثْمَايَة
ثَلاثِمِائةٍ	ثَلَاثْمَايَة
ثَلاثِمِائةِ	ثَلَاثْمَايَة
ثَلَاثُونَ	ثَلَاثُونْ
ثَلَاثِينَ	ثَلَاثِينْ
ثَمَانٍ	ثَمَان
ثَمَانِمِائةِ	ثَمَانِمَايَة
ثَمَانِمِائةٍ	ثَمَانْمَايَة
ثَمَانُونَ	ثَمَانُونْ
ثَمَانِي	ثَمَانِي
ثَمَانِيَ عَشرَة	ثَمَانِي عَشْرَة
ثَمَانِيًا	ثَمَانِيَا
ثَمَانِيَةٌ	ثَمَانِيَة
ثَمَانِيَةُ	ثَمَانِيَة
ثَمَانِيَةً	ثَمَانِيَة
ثَمَانِيَةَ	ثَمَّانِيَة
ثَمَانِيَةٍ	ثَمَانِيَة
ثَمَانِيَةِ	ثَمَانِيَة
ثَمَانِيَةَ عَشَرَ	ثَمَانِيَة عَشْرْ
ثَمَانِينَ	ثَمَانِينْ
خَمسٌ	خَمَسْ
خَمسُ	خَمْسْ
خَمسَ	خَمَسْ
خَمسٍ	خَمَّسْ
خَمسِ	خمسْ
خَمسَ عَشرَة	خَمْسْ عَشَرَة
خَمسًا	خَمَسَا
خَمسَةٌ	خَمْسَة
خَمسَةُ	خَمْسَة
خَمسَةً	خَمْسَة
خَمسَةَ	خَمْسَة
خَمسَةٍ	خَمْسَة
خَمسَةِ	خَمْسَة
خَمسَةَ عَشَرَ	خَمْسَة عَشَرْ
خَمسُمَائةٍ	خَمْسْمَايَة
خَمسُمَائةِ	خَمْسْمَايَة
خَمسَمَائةٍ	خَمْسْمَايَة
خَمسَمَائةِ	خَمْسْمَايَة
خَمسِمَائةٍ	خَمْسْمَايَة
خَمسِمَائةِ	خَمْسْمَايَة
خَمسُونَ	خَمْسُونْ
خَمسِينَ	خَمْسِينْ
سَبعٌ	سَبْعْ
سَبعُ	سَبْعْ
سَبعَ	سَبْعْ
سَبعٍ	سَبْعَ
سَبعِ	سَبْعْ
سَبعَ عَشرَة	سَبَّعْ عَشْرَة
سَبعًا	سَبْعَا
سَبعةٌ	سَبْعَة
سَبعَةُ	سَبْعَة
سَبعَةً	سَبْعَة
سَبعَةَ	سَبْعَة
سَبعَةٍ	سَبْعَة
سَبعَةِ	سَبْعَة
سَبعَةَ عَشَرَ	سَبْعَة عَشَرْ
سَبعُمِائةٍ	سَبْعْمَايَة
سَبعُمِائةِ	سَبْعْمَايَة
سَبعَمِائةٍ	سَبْعْمَايَة
سَبعَمِائةِ	سَبْعْمَايَة
سَبعِمِائةٍ	سَبْعْمَايَة
سَبعِمِائةِ	سَبْعْمَايَة
سَبعُونَ	سَبْعُونْ
سَبعِينَ	سَبْعِين
سِتٌّ	ست
سِتًّ	ست
سِتَّ	ست
سِتٍّ	ست
سِتِّ	ست
سِتَّ عَشرَة	سَتْ عَشْرَة
سِتًّ	ست
سِتَّةٌ	سَتة
سِتَّةُ	ستة
سِتَّةً	سَتَة
سِتَّةَ	ستة
سِتَّةٍ	سَتَة
سِتَّةِ	سَتَة
سِتَّةَ عَشَرَ	سَتّة عَشْر
سِتُّمِائةٍ	سْتْمَايَة
سِتُّمِائةِ	سِتْمَايَة
سِتَّمِائةٍ	سْتْمَايَة
سِتَّمِائةِ	سِتْمَايَة
سِتِّمِائةٍ	سَتْمَايَة
سِتِّمِائةِ	سِتْمَايَة
سِتُّونَ	سَتونْ
سِتِّينَ	سَتِين
عَشرٌ	عَشَرْ
عَشرُ	عَشَرَ
عَشرَ	عَشَرْ
عَشرِ	عَشَرْ
عَشرٍ	عَشْرْ
عَشرًا	عَشَرَا
عَشَرَةٌ	عَشَرَة
عَشَرَةَ	عَشْرَة
عَشَرَةً	عَشْرَة
عَشَرَة	عَشَرَة
عَشَرَةٍ	عَشَرَة
عَشَرَةِ	عَشْرَة
عِشرُونَ	عَشْرُونْ
عِشرِينَ	عَشْرِينْ
مِائَةٌ	مَايَة
مِائَةُ	مَايَة
مِائَةً	مَايَةْ
مِائَةَ	مَايَة
مِائَةٍ	مَايَةْ
مِائَةِ	مَايَة
مِائَتَا	مَايْتَا
مِائَتَانِ	مَايْتِانْ
مِائَتَي	مَايْتِي
مِائَتَينِ	مَايْتِين
مَلايِينٍ	مَلَايِين
مَلايينِ	مْلَايِين
مِليَارٌ	مِلْيَارْ
مِليَارُ	مِلْيَار
مِليَارَ	مْلْيَار
مِليَارٍ	مِلْيَار
مِليَارِ	مَلْيَار
مَليِارًا	ملْيَارَا
مِليَارا	مْلْيارَا
